CountyFIPS,Year,WaterBodyProximity
6085,2020,2
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,2
6085,2020,1
6085,2020,2
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,2
6085,2020,2
6085,2020,2
6013,2020,3
6013,2020,1
6085,2020,1
6085,2020,2
6085,2020,2
6085,2020,24
6085,2020,3
6085,2020,1
6085,2020,3
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,2
6085,2020,1
6085,2020,1
6001,2020,1
6001,2020,1
6001,2020,1
6085,2020,1
6001,2020,1
6001,2020,1
6001,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6001,2020,1
6001,2020,3
6085,2020,1
6085,2020,2
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6001,2020,1
6085,2020,2
6085,2020,1
6001,2020,1
6001,2020,1
6001,2020,1
6001,2020,1
6001,2020,1
6001,2020,1
6001,2020,1
6001,2020,2
6085,2020,1
6085,2020,1
6001,2020,1
6085,2020,1
6001,2020,9
6013,2020,1
6055,2020,1
6095,2020,1
6095,2020,2
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6095,2020,1
6007,2020,1
6007,2020,1
6079,2020,1
6085,2020,1
6085,2020,3
6113,2020,1
6077,2020,1
6067,2020,1
6067,2020,3
6067,2020,1
6067,2020,7
6067,2020,1
6017,2020,1
6017,2020,2
6023,2020,2
6023,2020,1
41039,2020,1
41039,2020,1
41039,2020,1
41039,2020,1
41039,2020,1
41039,2020,1
41039,2020,1
41039,2020,3
41039,2020,1
41039,2020,1
41003,2020,1
41067,2020,1
41019,2020,1
41017,2020,2
41067,2020,1
41067,2020,1
41051,2020,1
41051,2020,1
41051,2020,1
41051,2020,1
41051,2020,2
53015,2020,1
53041,2020,1
53053,2020,2
53041,2020,1
53041,2020,2
53041,2020,1
53067,2020,1
53033,2020,3
53033,2020,1
53033,2020,1
53053,2020,1
53053,2020,2
53053,2020,1
53061,2020,8
53061,2020,1
53053,2020,2
53053,2020,2
53053,2020,1
53053,2020,1
53053,2020,1
53053,2020,4
53053,2020,5
53053,2020,1
53053,2020,2
53053,2020,2
53053,2020,1
53053,2020,2
53053,2020,1
53061,2020,25
53053,2020,7
53053,2020,3
53053,2020,1
53053,2020,5
53053,2020,1
53053,2020,2
53033,2020,1
53033,2020,6
53033,2020,49
53033,2020,1
53033,2020,1
53033,2020,1
53033,2020,1
53033,2020,1
53033,2020,1
53033,2020,1
53033,2020,1
53033,2020,1
53033,2020,4
53033,2020,5
53033,2020,1
53033,2020,1
53053,2020,1
53033,2020,1
53053,2020,1
53033,2020,12
53033,2020,1
41017,2020,1
41017,2020,1
41017,2020,1
41017,2020,1
41017,2020,1
41017,2020,17
41017,2020,1
41017,2020,1
41017,2020,1
41017,2020,1
41017,2020,1
41017,2020,3
41017,2020,2
41017,2020,1
41017,2020,1
41017,2020,1
41017,2020,3
41017,2020,1
41017,2020,1
41017,2020,1
41017,2020,1
53009,2020,1
6019,2020,1
6031,2020,1
6043,2020,1
6039,2020,1
6039,2020,1
32031,2020,1
6017,2020,1
32031,2020,8
32031,2020,1
32031,2020,3
6083,2020,2
6083,2020,3
6083,2020,1
6037,2020,2
6037,2020,9
6037,2020,4
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,2
6037,2020,6
6037,2020,1
6037,2020,1
6037,2020,2
6037,2020,21
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,24
6037,2020,3
6037,2020,1
6037,2020,1
6037,2020,2
6037,2020,1
6037,2020,1
6037,2020,15
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,4
6037,2020,5
6037,2020,2
6037,2020,1
6037,2020,1
6037,2020,2
6037,2020,2
6037,2020,1
6037,2020,9
6037,2020,1
6037,2020,1
6029,2020,1
6073,2020,2
6073,2020,1
6073,2020,1
6073,2020,2
6073,2020,1
6073,2020,1
6073,2020,2
6073,2020,5
6073,2020,2
6073,2020,1
6073,2020,1
6073,2020,1
6073,2020,2
6073,2020,1
6073,2020,1
6073,2020,1
6073,2020,2
6073,2020,1
6073,2020,1
6073,2020,1
6073,2020,3
6073,2020,5
6073,2020,1
6073,2020,2
6073,2020,1
6073,2020,4
6073,2020,6
6073,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6059,2020,1
6037,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6037,2020,2
6059,2020,5
6037,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,6
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,2
6059,2020,2
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,5
6059,2020,5
6059,2020,1
6059,2020,2
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
NA,2020,1
6037,2020,1
6059,2020,1
6037,2020,2
6037,2020,1
NA,2020,1
NA,2020,1
NA,2020,3
NA,2020,2
NA,2020,2
NA,2020,1
NA,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6059,2020,1
6065,2020,1
6065,2020,1
6071,2020,1
6065,2020,1
6065,2020,2
6065,2020,8
6071,2020,1
6071,2020,1
6073,2020,1
6071,2020,4
6071,2020,1
6071,2020,1
32003,2020,6
32003,2020,1
32003,2020,2
32003,2020,10
32003,2020,1
32003,2020,1
32003,2020,1
53005,2020,1
53071,2020,2
53063,2020,1
16001,2020,1
16001,2020,1
16001,2020,2
16001,2020,1
16001,2020,1
16001,2020,2
16001,2020,1
16001,2020,1
16001,2020,1
16001,2020,1
16001,2020,1
16001,2020,1
16001,2020,2
16001,2020,1
16001,2020,3
16001,2020,1
16001,2020,1
16001,2020,1
16001,2020,1
16001,2020,1
16001,2020,1
16001,2020,2
16001,2020,1
16001,2020,1
16017,2020,1
4023,2020,2
4003,2020,1
4013,2020,3
4013,2020,1
4013,2020,3
4013,2020,15
4013,2020,1
4013,2020,1
4019,2020,1
4019,2020,1
4019,2020,1
4019,2020,10
4019,2020,10
4017,2020,1
4001,2020,1
4001,2020,1
35017,2020,1
8077,2020,1
16005,2020,1
49035,2020,1
49049,2020,3
49035,2020,1
49035,2020,1
49035,2020,1
49035,2020,1
49035,2020,1
49029,2020,1
49043,2020,1
16051,2020,1
30031,2020,2
48141,2020,1
48141,2020,1
48141,2020,2
48141,2020,5
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,2
48141,2020,1
48141,2020,12
48141,2020,10
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,2
48141,2020,3
48141,2020,4
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,2
48141,2020,1
48141,2020,1
48141,2020,1
NA,2020,1
48141,2020,1
NA,2020,1
NA,2020,1
48141,2020,1
NA,2020,2
48141,2020,9
48141,2020,2
48141,2020,1
48141,2020,1
48141,2020,2
48141,2020,1
48141,2020,1
48141,2020,1
48141,2020,1
8097,2020,1
8097,2020,6
8097,2020,2
35013,2020,1
35043,2020,1
35001,2020,1
35001,2020,2
35001,2020,1
35001,2020,3
35043,2020,1
35043,2020,1
35043,2020,6
35043,2020,1
8003,2020,1
8003,2020,1
8003,2020,1
8049,2020,1
8049,2020,2
8049,2020,1
8049,2020,1
8049,2020,1
35049,2020,1
35055,2020,1
8041,2020,1
8041,2020,1
8041,2020,1
8041,2020,1
8041,2020,5
8041,2020,1
8005,2020,1
8005,2020,1
8005,2020,1
8031,2020,1
8013,2020,2
8013,2020,1
8013,2020,1
8013,2020,1
8013,2020,1
8013,2020,1
56009,2020,1
56009,2020,2
56009,2020,1
46033,2020,1
46033,2020,1
38105,2020,1
38105,2020,4
38105,2020,1
48265,2020,2
48427,2020,4
48427,2020,1
48427,2020,17
48427,2020,1
48427,2020,5
48029,2020,1
48029,2020,14
48029,2020,1
48029,2020,2
48029,2020,1
48029,2020,2
48029,2020,1
48029,2020,4
48029,2020,1
48029,2020,6
48029,2020,2
48029,2020,1
48029,2020,1
48029,2020,1
48029,2020,1
48029,2020,1
48029,2020,1
48029,2020,10
48029,2020,2
48029,2020,1
48029,2020,1
48029,2020,2
48029,2020,1
48029,2020,2
48029,2020,8
48091,2020,1
48029,2020,2
48029,2020,2
48091,2020,1
48091,2020,4
48091,2020,1
48091,2020,1
48091,2020,1
48091,2020,2
48187,2020,1
48187,2020,6
48187,2020,2
48187,2020,2
48187,2020,1
48187,2020,2
48187,2020,1
48453,2020,4
48453,2020,1
48061,2020,1
48061,2020,2
48061,2020,1
48061,2020,1
48061,2020,1
48061,2020,1
48355,2020,1
48355,2020,1
48355,2020,7
48469,2020,8
48469,2020,1
48055,2020,1
48453,2020,1
48453,2020,4
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,2
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,23
48453,2020,1
48453,2020,3
48453,2020,1
48453,2020,3
48453,2020,1
48453,2020,4
48453,2020,1
48453,2020,2
48453,2020,7
48453,2020,3
48453,2020,2
48453,2020,1
48453,2020,5
48453,2020,1
48491,2020,1
48453,2020,22
48453,2020,55
48453,2020,3
48491,2020,1
48453,2020,2
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,2
48453,2020,61
48453,2020,1
48453,2020,2
48453,2020,1
48453,2020,4
48453,2020,2
48453,2020,5
48453,2020,3
48209,2020,1
48453,2020,1
48453,2020,1
48453,2020,8
48491,2020,1
48453,2020,20
48453,2020,3
48453,2020,3
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48491,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,2
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,3
48491,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,4
48491,2020,1
48453,2020,1
48491,2020,1
48453,2020,12
48453,2020,1
48491,2020,1
48491,2020,1
48453,2020,1
48453,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,3
48453,2020,1
48491,2020,1
48491,2020,1
48491,2020,4
48491,2020,12
48491,2020,2
48491,2020,10
48491,2020,2
48491,2020,1
48491,2020,32
48491,2020,1
48491,2020,1
48491,2020,3
48491,2020,4
48491,2020,1
48491,2020,2
48491,2020,1
48491,2020,1
48453,2020,11
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48453,2020,1
48491,2020,1
48491,2020,1
48491,2020,26
48491,2020,3
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,2
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,5
48453,2020,2
48453,2020,1
48453,2020,3
48491,2020,1
48491,2020,2
48453,2020,2
48453,2020,1
48491,2020,1
48491,2020,1
48491,2020,1
48491,2020,2
48491,2020,1
48491,2020,3
48491,2020,1
48453,2020,1
48491,2020,1
48491,2020,7
48491,2020,4
48491,2020,1
48491,2020,1
48453,2020,1
48453,2020,1
48491,2020,3
48453,2020,1
48453,2020,1
48491,2020,1
48453,2020,1
48453,2020,3
48453,2020,13
48453,2020,1
48453,2020,1
48453,2020,1
48453,2020,1
48309,2020,2
48309,2020,1
48309,2020,1
48309,2020,1
48309,2020,1
48309,2020,1
48309,2020,1
