CountyFIPS,Year,InsuranceCoverage
37191,2010,18.1
37193,2010,18.7
37195,2010,22.6
38015,2010,7
38017,2010,9.1
38035,2010,9
39003,2010,12.1
39007,2010,13.1
39013,2010,10.7
39017,2010,10.2
39023,2010,14.7
39025,2010,11
39029,2010,11.8
39035,2010,12.5
39041,2010,4.7
39043,2010,10.8
39045,2010,10.5
39049,2010,13
39055,2010,10.3
39057,2010,11.1
39061,2010,12.3
39063,2010,13
39081,2010,10.7
39085,2010,10.6
39089,2010,12.8
39093,2010,9.6
39095,2010,13.9
39099,2010,11
39101,2010,14.8
39103,2010,9.3
39109,2010,11.4
39113,2010,12.8
39119,2010,12.4
39133,2010,11.1
39139,2010,12.8
39141,2010,16.6
39145,2010,16.8
39151,2010,12.4
39153,2010,11.6
39155,2010,12.4
39157,2010,14
39165,2010,7.5
39169,2010,16.6
39173,2010,7.7
40017,2010,12.5
40027,2010,13.9
40031,2010,17.2
40037,2010,21.6
40101,2010,19.7
40109,2010,19.5
40119,2010,16.2
40125,2010,17.3
40131,2010,13.2
40143,2010,19.2
40145,2010,17.4
41003,2010,14.3
41005,2010,13
41017,2010,17.4
41019,2010,16.9
41029,2010,20.3
41033,2010,17
41035,2010,20
41039,2010,18.7
41043,2010,18.5
41047,2010,18.5
41051,2010,18
41053,2010,9.8
41059,2010,20.3
41067,2010,14.9
41071,2010,17.3
42001,2010,9.5
42003,2010,8
42005,2010,8.5
42007,2010,7.4
42011,2010,9.8
42013,2010,10.8
42017,2010,6.7
42019,2010,7.6
42021,2010,9.1
42025,2010,14.5
42027,2010,8.6
42029,2010,8.6
42033,2010,11.1
42037,2010,8.2
42039,2010,14.3
42041,2010,7.1
42043,2010,10.3
42045,2010,9.2
42049,2010,9.6
42051,2010,12.5
42055,2010,12.7
42063,2010,11.6
42069,2010,10.4
42071,2010,13.3
42073,2010,11
42075,2010,10.3
42077,2010,10.7
42079,2010,11
42081,2010,10.9
42085,2010,11.3
42089,2010,11.6
42091,2010,6.5
42095,2010,9.3
42097,2010,11.5
42101,2010,14.9
42107,2010,9.4
42111,2010,12.8
42125,2010,8.6
42129,2010,7.9
42133,2010,9.1
44003,2010,10
44005,2010,8.3
44007,2010,14.2
44009,2010,7.9
45003,2010,15.5
45007,2010,14.9
45013,2010,17
45015,2010,19.2
45019,2010,17.2
45031,2010,19
45035,2010,15.4
45041,2010,17.4
45045,2010,17.4
45047,2010,22.3
45051,2010,22.9
45057,2010,15.7
45059,2010,16.4
45063,2010,15
45073,2010,19.9
45075,2010,19
45077,2010,13.5
45079,2010,14
45083,2010,19.8
45085,2010,17.2
45091,2010,15.7
46099,2010,10.3
46103,2010,13.5
47001,2010,10.6
47009,2010,12.7
47011,2010,13.9
47037,2010,18.2
47059,2010,12.2
47065,2010,14
47093,2010,11.5
47113,2010,14.5
47119,2010,12.8
47125,2010,11
47141,2010,14
47147,2010,11.7
47149,2010,13.7
47155,2010,20.8
47157,2010,16.2
47163,2010,13.4
47165,2010,15.2
47179,2010,12.2
47187,2010,6.2
47189,2010,11.3
48005,2010,21.6
48021,2010,23.7
48027,2010,16.5
48029,2010,20.4
48037,2010,18.6
48039,2010,19.5
48041,2010,16.1
48061,2010,35.6
48085,2010,15.6
48091,2010,16.6
48099,2010,10.6
48113,2010,28.6
48121,2010,16
48135,2010,30.6
48139,2010,19.7
48141,2010,30
48157,2010,18.4
48167,2010,18.8
48181,2010,24.9
48183,2010,26.3
48187,2010,17.6
48201,2010,27.9
48203,2010,24.5
48209,2010,18.1
48213,2010,26.1
48215,2010,35.9
48231,2010,23.6
48245,2010,28
48251,2010,21.4
48257,2010,18.1
48291,2010,24
48303,2010,18.8
48309,2010,19.4
48329,2010,21.7
48339,2010,19.2
48355,2010,20.4
48361,2010,21.2
48367,2010,18.3
48375,2010,29.7
48381,2010,19.2
48397,2010,14.3
48409,2010,20.6
48423,2010,23.5
48439,2010,21.3
48441,2010,22
48451,2010,19.6
48453,2010,20.6
48469,2010,21.3
48471,2010,15
48479,2010,36.4
48485,2010,20.8
48491,2010,15.3
49005,2010,12.6
49011,2010,9.4
49035,2010,17.2
49049,2010,13.6
49053,2010,16.9
49057,2010,16.2
50007,2010,6.3
51003,2010,9.1
51013,2010,12.5
51015,2010,11.3
51019,2010,10.7
51041,2010,11.7
51059,2010,13.5
51061,2010,11.2
51069,2010,11.5
51085,2010,4.9
51087,2010,12.2
51095,2010,6.7
51107,2010,8.2
51121,2010,11.2
51153,2010,14.8
51161,2010,6.8
51165,2010,17.3
51177,2010,12.1
51179,2010,7.9
51199,2010,7.1
51510,2010,17.7
51550,2010,9.8
51650,2010,13.6
51680,2010,15
51700,2010,13.2
51710,2010,17.8
51740,2010,11.7
51760,2010,17.9
51770,2010,17.8
51800,2010,9.2
51810,2010,11.1
53005,2010,14.5
53007,2010,19.2
53009,2010,13.9
53011,2010,13.4
53015,2010,14.4
53021,2010,20.7
53025,2010,23.1
53027,2010,16.7
53029,2010,11.2
53033,2010,12.7
53035,2010,11.9
53041,2010,14.8
53053,2010,13.6
53057,2010,14.7
53061,2010,13.8
53063,2010,13.8
53067,2010,10.9
53073,2010,10.9
53077,2010,27.6
54003,2010,15.1
54011,2010,13.9
54033,2010,15.3
54039,2010,12.8
54061,2010,12.4
54081,2010,13
54107,2010,12.7
55009,2010,8.3
55025,2010,7.4
55027,2010,5.9
55035,2010,7.8
55039,2010,8.4
55055,2010,9.5
55059,2010,12.5
55063,2010,8.1
55071,2010,7.3
55073,2010,8.8
55079,2010,13.1
55087,2010,8.4
55089,2010,4.3
55097,2010,8.7
55101,2010,8.6
55105,2010,12.5
55109,2010,8.8
55117,2010,7.7
55127,2010,13.2
55131,2010,7.6
55133,2010,4.9
55139,2010,8.8
55141,2010,5.6
56021,2010,15
56025,2010,13.9
72013,2010,7.6
72021,2010,8.5
72025,2010,9.3
72031,2010,10.4
72061,2010,8.9
72097,2010,7.6
72113,2010,6.9
72127,2010,12.9
72135,2010,9.7
72137,2010,8
72139,2010,8.9
1003,2010,17.8
1015,2010,14
1043,2010,15.6
1049,2010,16.3
1051,2010,10.9
1055,2010,17.5
1069,2010,14.9
1073,2010,14.1
1077,2010,11.9
1081,2010,12.6
1083,2010,13
1089,2010,12.5
1095,2010,17.5
1097,2010,16.6
1101,2010,13.8
1103,2010,16.9
1115,2010,10.7
1117,2010,10.7
1121,2010,13.9
1125,2010,15.3
1127,2010,15.4
2020,2010,16.6
2090,2010,14.9
2170,2010,18.6
4001,2010,24.8
4003,2010,12.3
4005,2010,19.9
4013,2010,17.1
4015,2010,16.6
4017,2010,15.4
4019,2010,15.2
4021,2010,16.5
4025,2010,15.2
4027,2010,19.8
5007,2010,14.9
5031,2010,18.8
5045,2010,15.3
5051,2010,21.3
5069,2010,14.7
5085,2010,18
5119,2010,16.7
5125,2010,12.2
5131,2010,20.6
5143,2010,21
5145,2010,17.5
6001,2010,13.3
6007,2010,15.9
6013,2010,12.6
6017,2010,10.1
6019,2010,20.1
6023,2010,17.9
6025,2010,20.9
6029,2010,22.2
6031,2010,18
6033,2010,19.8
6037,2010,23.5
6039,2010,19.4
6041,2010,8.4
6045,2010,17
6047,2010,19.5
6053,2010,22.4
6055,2010,16.1
6057,2010,16.8
6059,2010,18
6061,2010,9.3
6065,2010,21.1
6067,2010,13.9
6071,2010,21.6
6073,2010,17.6
6075,2010,12.1
6077,2010,17.5
6079,2010,15
6081,2010,11.6
6083,2010,18.3
6085,2010,12
6087,2010,14.2
6089,2010,14.7
6095,2010,12.3
6097,2010,14.4
6099,2010,17.3
6101,2010,20.7
6107,2010,21.9
6111,2010,16.3
6113,2010,11.8
6115,2010,16.8
8001,2010,22.5
8005,2010,16.6
8013,2010,11.5
8031,2010,18.4
8035,2010,5.2
8041,2010,14.9
8059,2010,13.3
8069,2010,12.4
8077,2010,21.8
8101,2010,16.9
8123,2010,16.1
9001,2010,11.7
9003,2010,8.5
9005,2010,6.9
9007,2010,7.6
9009,2010,8.8
9011,2010,8.1
9013,2010,5.1
9015,2010,8.5
10001,2010,7.4
10003,2010,9.4
10005,2010,12.4
11001,2010,7.6
12001,2010,14.5
12005,2010,19.3
12009,2010,16.8
12011,2010,24
12015,2010,17.4
12017,2010,15
12019,2010,13.5
12021,2010,23.2
12023,2010,18
12031,2010,17.3
12033,2010,17.5
12035,2010,18.6
12053,2010,20.2
12055,2010,18
12057,2010,19.4
12061,2010,19.6
12069,2010,17
12071,2010,22.2
12073,2010,13
12081,2010,19.3
12083,2010,20
12085,2010,17.4
12086,2010,31.8
12087,2010,32
12089,2010,14.3
12091,2010,17
12095,2010,22.5
12097,2010,23.9
12099,2010,21
12101,2010,17.7
12103,2010,17.8
12105,2010,20
12107,2010,19.6
12109,2010,13.2
12111,2010,22.6
12113,2010,16
12115,2010,17.8
12117,2010,17.2
12119,2010,11.4
12127,2010,20
13013,2010,18.2
13015,2010,19.1
13021,2010,16.8
13031,2010,21.4
13045,2010,19.7
13051,2010,19.8
13057,2010,14.4
13059,2010,16.6
13063,2010,28.9
13067,2010,18.2
13073,2010,15
13077,2010,14.9
13089,2010,25
13095,2010,19.1
13097,2010,17.4
13113,2010,11.4
13115,2010,17.8
13117,2010,14.1
13121,2010,17.9
13127,2010,23.3
13135,2010,24.4
13139,2010,21.5
13151,2010,15.9
13153,2010,17.2
13185,2010,21.1
13215,2010,15.9
13217,2010,19
13223,2010,14.3
13245,2010,17.6
13247,2010,18.2
13285,2010,20.6
13295,2010,19.9
13297,2010,16.8
13313,2010,21.2
15001,2010,10.7
15003,2010,6.6
15007,2010,9.8
15009,2010,11.5
16001,2010,15
16005,2010,15
16019,2010,15.2
16027,2010,18.7
16055,2010,19.8
16083,2010,22.9
17001,2010,9.5
17019,2010,12.5
17031,2010,17.8
17037,2010,9.1
17043,2010,9.6
17089,2010,13.2
17091,2010,13.6
17093,2010,10
17097,2010,12.4
17099,2010,10.6
17111,2010,9.9
17113,2010,8.4
17115,2010,11.1
17119,2010,9.8
17143,2010,11.5
17161,2010,11.9
17163,2010,11.4
17167,2010,9.8
17179,2010,7.7
17183,2010,13
17197,2010,10.6
17199,2010,11.4
17201,2010,13.5
18003,2010,14.6
18005,2010,11.5
18019,2010,14
18035,2010,14.1
18039,2010,22.2
18043,2010,10.6
18053,2010,15.8
18057,2010,8.5
18059,2010,14.8
18063,2010,10.2
18067,2010,15.1
18081,2010,12.7
18085,2010,19
18089,2010,14.4
18091,2010,11.5
18095,2010,16.5
18097,2010,18.1
18105,2010,11.7
18109,2010,16.8
18127,2010,11.8
18141,2010,13.2
18157,2010,13.8
18163,2010,12.2
18167,2010,16.2
18177,2010,20.4
19013,2010,8.7
19049,2010,8.5
19061,2010,4.9
19103,2010,6.7
19113,2010,7.5
19153,2010,9.7
19155,2010,12.2
19163,2010,10.8
19169,2010,7.6
19193,2010,13.6
20015,2010,12.9
20045,2010,15.4
20091,2010,9.5
20103,2010,8.4
20161,2010,7.8
20173,2010,15.6
20177,2010,14.7
20209,2010,26.4
21015,2010,10.6
21029,2010,11.2
21037,2010,13.3
21047,2010,16.3
21059,2010,12.2
21067,2010,16.2
21093,2010,12.3
21111,2010,13.4
21117,2010,14.1
21145,2010,13.4
21151,2010,16.4
21195,2010,15.8
21227,2010,14.9
22005,2010,13.2
22015,2010,15.7
22017,2010,18.9
22019,2010,15
22033,2010,14.9
22045,2010,18.3
22051,2010,19.8
22055,2010,18.1
22057,2010,20.6
22063,2010,16.8
22071,2010,18.9
22073,2010,26.5
22079,2010,15.9
22097,2010,15.1
22103,2010,15.1
22105,2010,16.4
22109,2010,17
23001,2010,9
23003,2010,10.6
23005,2010,8.7
23011,2010,7.9
23019,2010,9.8
23031,2010,9.2
25001,2010,6.1
25003,2010,4.3
25005,2010,4.5
25009,2010,4.7
25011,2010,3.6
25013,2010,5.5
25015,2010,3.1
25017,2010,3.8
25021,2010,3.1
25023,2010,4.1
25025,2010,6.4
25027,2010,3.9
26005,2010,12.5
26017,2010,11.7
26021,2010,12.6
26025,2010,14
26037,2010,8.1
26045,2010,9.9
26049,2010,10.3
26055,2010,13.8
26065,2010,8.9
26073,2010,12.7
26075,2010,13.6
26077,2010,10.2
26081,2010,11.7
26087,2010,14
26091,2010,12.9
26093,2010,7.8
26099,2010,12
26103,2010,10.1
26111,2010,9.7
26115,2010,9.4
26121,2010,13.6
26125,2010,10.9
26139,2010,9.4
26145,2010,13.1
26147,2010,13.4
26155,2010,11.6
26159,2010,15.2
26161,2010,8.5
26163,2010,15.6
27003,2010,8.9
27019,2010,6.1
27037,2010,6.7
27053,2010,10.4
27109,2010,7.6
27123,2010,10.7
27137,2010,8.8
27139,2010,8.4
27141,2010,10.2
27145,2010,8.5
27163,2010,6
27171,2010,7.2
28033,2010,14.9
28035,2010,15.6
28047,2010,20.9
28049,2010,18.6
28059,2010,19.8
28067,2010,17.7
28075,2010,15.6
28081,2010,16.9
28089,2010,12.6
28121,2010,16.1
29019,2010,10.1
29021,2010,11.1
29031,2010,13.5
29037,2010,10.9
29043,2010,13.4
29047,2010,8.6
29051,2010,7.3
29071,2010,12.8
29077,2010,15.2
29095,2010,17
29097,2010,19.6
29099,2010,12.6
29165,2010,7
29183,2010,7.5
29187,2010,13.1
29189,2010,9.6
29510,2010,19
30013,2010,14.6
30029,2010,20.8
30031,2010,11.8
30063,2010,17.4
30111,2010,14.8
31055,2010,13.2
31109,2010,10
31153,2010,7.2
32003,2010,23.1
32031,2010,22.3
33005,2010,13.5
33009,2010,11.4
33011,2010,9.4
33013,2010,10.7
33015,2010,9.8
33017,2010,14.5
34001,2010,11.7
34003,2010,13.4
34005,2010,7.4
34007,2010,12.4
34009,2010,12.2
34011,2010,18.7
34013,2010,18.2
34015,2010,9.1
34017,2010,22.7
34019,2010,5.7
34021,2010,12.1
34023,2010,13.6
34025,2010,9.7
34027,2010,9
34029,2010,9.2
34031,2010,18.3
34033,2010,9.8
34035,2010,8.9
34037,2010,8.4
34039,2010,16.8
34041,2010,9
35001,2010,17
35005,2010,17.5
35013,2010,21.4
35031,2010,38.7
35043,2010,14.1
35045,2010,33.9
35049,2010,17.7
35061,2010,17
36001,2010,8.4
36005,2010,16.1
36007,2010,9.1
36009,2010,12.8
36011,2010,12.2
36013,2010,9.8
36015,2010,8.6
36019,2010,7.3
36027,2010,9.1
36029,2010,7.6
36045,2010,11.1
36047,2010,14.5
36051,2010,6.7
36053,2010,9.3
36055,2010,7.6
36059,2010,10.2
36061,2010,10.9
36063,2010,7.9
36065,2010,6.4
36067,2010,9.7
36069,2010,10
36071,2010,10.3
36075,2010,9.1
36079,2010,10.8
36081,2010,18.6
36083,2010,8.2
36085,2010,7.1
36087,2010,10.8
36089,2010,14.8
36091,2010,7.8
36093,2010,10.3
36101,2010,12.3
36103,2010,10.4
36105,2010,16.6
36109,2010,6.6
36111,2010,10.7
36113,2010,9.6
36117,2010,9.6
36119,2010,11.5
37001,2010,18.4
37019,2010,14.6
37021,2010,17.8
37023,2010,14.5
37025,2010,17
37027,2010,17
37031,2010,16.7
37035,2010,16.8
37045,2010,15
37049,2010,14.1
37051,2010,15.3
37057,2010,17.1
37063,2010,17.8
37067,2010,16.4
37071,2010,19.2
37081,2010,17.1
37085,2010,16.2
37089,2010,16.5
37097,2010,15.5
37101,2010,16.8
37109,2010,17.8
37119,2010,17.1
37125,2010,13.5
37127,2010,15.1
