CountyFIPS,Year,PopulationDensity
06-059,2018,3175579
06-059,2019,3170851
06-059,2020,3166857
06-061,2004,302841
06-061,2005,312762
06-061,2006,321934
06-061,2007,329023
06-061,2008,337568
06-061,2009,343810
06-061,2010,350007
06-061,2010,348481
06-061,2010,348432
06-061,2011,356323
06-061,2012,360269
06-061,2013,365415
06-061,2014,369241
06-061,2015,372870
06-061,2016,379046
06-061,2017,385348
06-061,2018,392735
06-061,2019,398918
06-061,2020,402950
06-063,2004,21000
06-063,2005,21010
06-063,2006,20762
06-063,2007,20667
06-063,2008,20410
06-063,2009,20169
06-063,2010,19915
06-063,2010,20007
06-063,2010,20007
06-063,2011,19720
06-063,2012,19380
06-063,2013,18901
06-063,2014,18631
06-063,2015,18435
06-063,2016,18691
06-063,2017,18680
06-063,2018,18830
06-063,2019,19052
06-063,2020,18967
06-065,2004,1856542
06-065,2005,1931785
06-065,2006,2012370
06-065,2007,2075183
06-065,2008,2109712
06-065,2009,2146725
06-065,2010,2201562
06-065,2010,2189785
06-065,2010,2189641
06-065,2011,2233840
06-065,2012,2260763
06-065,2013,2286087
06-065,2014,2315238
06-065,2015,2344648
06-065,2016,2378282
06-065,2017,2413058
06-065,2018,2443221
06-065,2019,2465569
06-065,2020,2489188
06-067,2004,1348932
06-067,2005,1360816
06-067,2006,1369563
06-067,2007,1381161
06-067,2008,1394438
06-067,2009,1408601
06-067,2010,1421381
06-067,2010,1418736
06-067,2010,1418788
06-067,2011,1433712
06-067,2012,1444819
06-067,2013,1457283
06-067,2014,1474828
06-067,2015,1493547
06-067,2016,1511401
06-067,2017,1527984
06-067,2018,1539550
06-067,2019,1551660
06-067,2020,1559146
06-069,2004,54849
06-069,2005,54647
06-069,2006,54124
06-069,2007,54072
06-069,2008,54267
06-069,2009,54436
06-069,2010,55544
06-069,2010,55269
06-069,2010,55265
06-069,2011,56094
06-069,2012,56704
06-069,2013,57320
06-069,2014,57891
06-069,2015,58276
06-069,2016,59270
06-069,2017,60190
06-069,2018,61415
06-069,2019,62803
06-069,2020,64055
06-071,2004,1899065
06-071,2005,1943924
06-071,2006,1974140
06-071,2007,1992161
06-071,2008,2003735
06-071,2009,2013960
06-071,2010,2040803
06-071,2010,2035172
06-071,2010,2035210
06-071,2011,2060596
06-071,2012,2073088
06-071,2013,2082101
06-071,2014,2098346
06-071,2015,2114352
06-071,2016,2130726
06-071,2017,2149847
06-071,2018,2165627
06-071,2019,2177279
06-071,2020,2189183
06-073,2004,2930007
06-073,2005,2938375
06-073,2006,2947289
06-073,2007,2975742
06-073,2008,3022116
06-073,2009,3061203
06-073,2010,3103260
06-073,2010,3095352
06-073,2010,3095313
06-073,2011,3137236
06-073,2012,3175148
06-073,2013,3210788
06-073,2014,3249307
06-073,2015,3280825
06-073,2016,3305462
06-073,2017,3319019
06-073,2018,3332483
06-073,2019,3330459
06-073,2020,3332427
06-075,2004,761325
06-075,2005,763016
06-075,2006,768650
06-075,2007,778673
06-075,2008,791152
06-075,2009,801922
06-075,2010,805519
06-075,2010,805184
06-075,2010,805235
06-075,2011,815694
06-075,2012,828963
06-075,2013,839695
06-075,2014,850918
06-075,2015,863237
06-075,2016,871343
06-075,2017,877471
06-075,2018,879676
06-075,2019,878826
06-075,2020,866606
06-077,2004,642898
06-077,2005,656985
06-077,2006,662812
06-077,2007,668080
06-077,2008,671692
06-077,2009,677736
06-077,2010,687115
06-077,2010,685306
06-077,2010,685298
06-077,2011,694265
06-077,2012,699444
06-077,2013,701831
06-077,2014,711296
06-077,2015,721919
06-077,2016,732662
06-077,2017,743286
06-077,2018,752590
06-077,2019,761571
06-077,2020,767967
06-079,2004,256842
06-079,2005,258615
06-079,2006,260498
06-079,2007,262770
06-079,2008,266358
06-079,2009,268145
06-079,2010,269800
06-079,2010,269599
06-079,2010,269637
06-079,2011,271056
06-079,2012,274174
06-079,2013,275713
06-079,2014,278271
06-079,2015,280138
06-079,2016,281884
06-079,2017,282473
06-079,2018,283250
06-079,2019,282728
06-079,2020,282249
06-081,2004,690161
06-081,2005,690078
06-081,2006,690176
06-081,2007,693849
06-081,2008,703830
06-081,2009,713617
06-081,2010,719948
06-081,2010,718528
06-081,2010,718451
06-081,2011,728945
06-081,2012,739700
06-081,2013,749131
06-081,2014,757653
06-081,2015,765479
06-081,2016,767928
06-081,2017,768658
06-081,2018,768410
06-081,2019,764810
06-081,2020,758308
06-083,2004,407284
06-083,2005,408079
06-083,2006,408085
06-083,2007,411243
06-083,2008,415859
06-083,2009,420356
06-083,2010,424218
06-083,2010,423895
06-083,2010,423947
06-083,2011,425404
06-083,2012,429635
06-083,2013,434503
06-083,2014,438921
06-083,2015,442051
06-083,2016,444112
06-083,2017,444998
06-083,2018,445137
06-083,2019,445464
06-083,2020,444766
06-085,2004,1663167
06-085,2005,1675312
06-085,2006,1691159
06-085,2007,1712026
06-085,2008,1740964
06-085,2009,1765137
06-085,2010,1786001
06-085,2010,1781680
06-085,2010,1781642
06-085,2011,1811891
06-085,2012,1837605
06-085,2013,1866050
06-085,2014,1891286
06-085,2015,1915736
06-085,2016,1928144
06-085,2017,1932251
06-085,2018,1931985
06-085,2019,1922411
06-085,2020,1907105
06-087,2004,252356
06-087,2005,251377
06-087,2006,251616
06-087,2007,253304
06-087,2008,256520
06-087,2009,260009
06-087,2010,263174
06-087,2010,262345
06-087,2010,262382
06-087,2011,264927
06-087,2012,266391
06-087,2013,268836
06-087,2014,270863
06-087,2015,273495
06-087,2016,274476
06-087,2017,274865
06-087,2018,273713
06-087,2019,272870
06-087,2020,269925
06-089,2004,174867
06-089,2005,175615
06-089,2006,176166
06-089,2007,176548
06-089,2008,177247
06-089,2009,177279
06-089,2010,177277
06-089,2010,177223
06-089,2010,177222
06-089,2011,177613
06-089,2012,177908
06-089,2013,178447
06-089,2014,178904
06-089,2015,178386
06-089,2016,178592
06-089,2017,179403
06-089,2018,179666
06-089,2019,179645
06-089,2020,179027
06-091,2004,3430
06-091,2005,3378
06-091,2006,3424
06-091,2007,3373
06-091,2008,3320
06-091,2009,3248
06-091,2010,3220
06-091,2010,3239
06-091,2010,3240
06-091,2011,3100
06-091,2012,3068
06-091,2013,3031
06-091,2014,2976
06-091,2015,2990
06-091,2016,2956
06-091,2017,3008
06-091,2018,2961
06-091,2019,2959
06-091,2020,2920
06-093,2004,44394
06-093,2005,44641
06-093,2006,44487
06-093,2007,44465
06-093,2008,44780
06-093,2009,44788
06-093,2010,44941
06-093,2010,44899
06-093,2010,44900
06-093,2011,44622
06-093,2012,44091
06-093,2013,43550
06-093,2014,43357
06-093,2015,43275
06-093,2016,43402
06-093,2017,43647
06-093,2018,43624
06-093,2019,43663
06-093,2020,43245
06-095,2004,409301
06-095,2005,408181
06-095,2006,408402
06-095,2007,408243
06-095,2008,408972
06-095,2009,410290
06-095,2010,413963
06-095,2010,413343
06-095,2010,413344
06-095,2011,416325
06-095,2012,419645
06-095,2013,423634
06-095,2014,428971
06-095,2015,433378
06-095,2016,438834
06-095,2017,443554
06-095,2018,445931
06-095,2019,447434
06-095,2020,446935
06-097,2004,466809
06-097,2005,465938
06-097,2006,465188
06-097,2007,467356
06-097,2008,473091
06-097,2009,479479
06-097,2010,484675
06-097,2010,483866
06-097,2010,483878
06-097,2011,487231
06-097,2012,489784
06-097,2013,493870
06-097,2014,498317
06-097,2015,500598
06-097,2016,502445
06-097,2017,502203
06-097,2018,497221
06-097,2019,492318
06-097,2020,489819
06-099,2004,492613
06-099,2005,500020
06-099,2006,504651
06-099,2007,507834
06-099,2008,509032
06-099,2009,511536
06-099,2010,515137
06-099,2010,514453
06-099,2010,514451
06-099,2011,517515
06-099,2012,520336
06-099,2013,523313
06-099,2014,527814
06-099,2015,532954
06-099,2016,538986
06-099,2017,544494
06-099,2018,547855
06-099,2019,549761
06-099,2020,550081
06-101,2004,86484
06-101,2005,88764
06-101,2006,91112
06-101,2007,92959
06-101,2008,93855
06-101,2009,94366
06-101,2010,94742
06-101,2010,94751
06-101,2010,94737
06-101,2011,94466
06-101,2012,94153
06-101,2013,94457
06-101,2014,94721
06-101,2015,95224
06-101,2016,95769
06-101,2017,96161
06-101,2018,96348
06-101,2019,96910
06-101,2020,96385
06-103,2004,59571
06-103,2005,60602
06-103,2006,61587
06-103,2007,62147
06-103,2008,62648
06-103,2009,62891
06-103,2010,63562
06-103,2010,63441
06-103,2010,63463
06-103,2011,63337
06-103,2012,63213
06-103,2013,62878
06-103,2014,62797
06-103,2015,63150
06-103,2016,63468
06-103,2017,63827
06-103,2018,63904
06-103,2019,65186
06-103,2020,64494
06-105,2004,13159
06-105,2005,13440
06-105,2006,13634
06-105,2007,13648
06-105,2008,13656
06-105,2009,13762
06-105,2010,13755
06-105,2010,13786
06-105,2010,13782
06-105,2011,13685
06-105,2012,13494
06-105,2013,13427
06-105,2014,13126
06-105,2015,13094
06-105,2016,12827
06-105,2017,12727
06-105,2018,12598
06-105,2019,12337
06-105,2020,12216
06-107,2004,398226
06-107,2005,407970
06-107,2006,414921
06-107,2007,422140
06-107,2008,429283
06-107,2009,436987
06-107,2010,442953
06-107,2010,442176
06-107,2010,442179
06-107,2011,446709
06-107,2012,449625
06-107,2013,452259
06-107,2014,454858
06-107,2015,456794
06-107,2016,458991
06-107,2017,462072
06-107,2018,464279
06-107,2019,465751
06-107,2020,468680
06-109,2004,56602
06-109,2005,56788
06-109,2006,56680
06-109,2007,56339
06-109,2008,56320
06-109,2009,55845
06-109,2010,55164
06-109,2010,55344
06-109,2010,55365
06-109,2011,54808
06-109,2012,54201
06-109,2013,53975
06-109,2014,53830
06-109,2015,53599
06-109,2016,53729
06-109,2017,53953
06-109,2018,54250
06-109,2019,54290
06-109,2020,54515
06-111,2004,793994
06-111,2005,794197
06-111,2006,798183
06-111,2007,800027
06-111,2008,806353
06-111,2009,815130
06-111,2010,825144
06-111,2010,823318
06-111,2010,823446
06-111,2011,829908
06-111,2012,833287
06-111,2013,837729
06-111,2014,842113
06-111,2015,845599
06-111,2016,846921
06-111,2017,848264
06-111,2018,847222
06-111,2019,844203
06-111,2020,841387
06-113,2004,185237
06-113,2005,186269
06-113,2006,189615
06-113,2007,194339
06-113,2008,197154
06-113,2009,199791
06-113,2010,201061
06-113,2010,200855
06-113,2010,200849
06-113,2011,201931
06-113,2012,204558
06-113,2013,206267
06-113,2014,208368
06-113,2015,211998
06-113,2016,215569
06-113,2017,218470
06-113,2018,220082
06-113,2019,220019
06-113,2020,219728
06-115,2004,63742
06-115,2005,66285
06-115,2006,69272
06-115,2007,70761
06-115,2008,71773
06-115,2009,71607
06-115,2010,72345
06-115,2010,72155
06-115,2010,72142
06-115,2011,72480
06-115,2012,72770
06-115,2013,73082
06-115,2014,73527
06-115,2015,74039
06-115,2016,74920
06-115,2017,76575
06-115,2018,77418
06-115,2019,78549
06-115,2020,80160
08-000,2004,4595674
08-000,2005,4655731
08-000,2006,4747872
08-000,2007,4837229
08-000,2008,4928676
08-000,2009,5015155
08-000,2010,5047539
08-000,2010,5029196
08-000,2010,5029319
08-000,2011,5121900
08-000,2012,5193660
08-000,2013,5270774
08-000,2014,5352637
08-000,2015,5454328
08-000,2016,5543844
08-000,2017,5617421
08-000,2018,5697155
08-000,2019,5758486
08-000,2020,5807719
08-001,2004,384809
08-001,2005,395146
08-001,2006,406575
08-001,2007,415746
08-001,2008,424913
08-001,2009,435700
08-001,2010,443692
08-001,2010,441701
08-001,2010,441603
08-001,2011,452209
08-001,2012,460568
08-001,2013,469995
08-001,2014,479954
08-001,2015,490448
08-001,2016,497735
08-001,2017,503717
08-001,2018,511485
08-001,2019,516575
08-001,2020,519883
08-003,2004,15217
08-003,2005,15236
08-003,2006,15196
08-003,2007,15180
08-003,2008,15300
08-003,2009,15289
08-003,2010,15515
08-003,2010,15445
08-003,2010,15440
08-003,2011,15715
08-003,2012,15685
08-003,2013,15794
08-003,2014,15807
08-003,2015,15894
08-003,2016,16047
08-003,2017,16102
08-003,2018,16235
08-003,2019,16200
08-003,2020,16180
08-005,2004,518971
08-005,2005,524466
08-005,2006,531619
08-005,2007,542039
08-005,2008,552461
08-005,2009,563161
08-005,2010,575124
08-005,2010,572477
08-005,2010,572003
08-005,2011,586433
08-005,2012,597052
08-005,2013,609089
08-005,2014,619681
08-005,2015,631688
08-005,2016,639605
08-005,2017,645080
08-005,2018,652395
08-005,2019,656051
08-005,2020,657452
08-007,2004,11266
08-007,2005,11496
08-007,2006,11937
08-007,2007,12262
08-007,2008,12250
08-007,2009,12169
08-007,2010,12048
08-007,2010,12084
08-007,2010,12084
08-007,2011,12027
08-007,2012,12141
08-007,2013,12225
08-007,2014,12240
08-007,2015,12399
08-007,2016,12834
08-007,2017,13312
08-007,2018,13670
08-007,2019,13928
08-007,2020,14196
08-009,2004,4064
08-009,2005,3997
08-009,2006,3933
08-009,2007,3866
08-009,2008,3806
08-009,2009,3767
08-009,2010,3807
08-009,2010,3787
08-009,2010,3788
08-009,2011,3779
08-009,2012,3722
08-009,2013,3656
08-009,2014,3586
08-009,2015,3554
08-009,2016,3534
08-009,2017,3554
08-009,2018,3587
08-009,2019,3620
08-009,2020,3555
08-011,2004,6180
08-011,2005,6118
08-011,2006,6012
08-011,2007,5715
08-011,2008,5962
08-011,2009,6425
08-011,2010,6500
08-011,2010,6499
08-011,2010,6499
08-011,2011,6424
08-011,2012,5850
08-011,2013,5759
08-011,2014,5821
08-011,2015,5891
08-011,2016,5832
08-011,2017,5828
08-011,2018,5793
08-011,2019,5578
08-011,2020,5356
08-013,2004,279728
08-013,2005,280241
08-013,2006,284243
08-013,2007,287428
08-013,2008,290859
08-013,2009,293190
08-013,2010,295056
08-013,2010,294560
08-013,2010,294567
08-013,2011,300045
08-013,2012,304717
08-013,2013,309538
08-013,2014,312525
08-013,2015,318408
08-013,2016,321761
08-013,2017,323019
08-013,2018,325438
08-013,2019,326020
08-013,2020,327171
08-014,2004,44867
08-014,2005,46313
08-014,2006,48729
08-014,2007,51526
08-014,2008,53181
08-014,2009,54789
08-014,2010,56212
08-014,2010,55889
08-014,2010,55848
08-014,2011,57485
08-014,2012,58971
08-014,2013,60158
08-014,2014,61791
08-014,2015,64914
08-014,2016,66596
08-014,2017,68340
08-014,2018,69431
08-014,2019,70617
08-014,2020,72236
08-015,2004,17047
08-015,2005,17105
08-015,2006,17087
08-015,2007,17377
08-015,2008,17573
08-015,2009,17852
08-015,2010,17808
08-015,2010,17809
08-015,2010,17809
08-015,2011,18035
08-015,2012,18164
08-015,2013,18375
08-015,2014,18471
08-015,2015,18635
08-015,2016,19140
08-015,2017,19700
08-015,2018,20066
08-015,2019,20319
08-015,2020,20661
08-017,2004,1981
08-017,2005,1939
08-017,2006,1912
08-017,2007,1863
08-017,2008,1881
08-017,2009,1843
08-017,2010,1833
08-017,2010,1833
08-017,2010,1836
08-017,2011,1863
08-017,2012,1871
08-017,2013,1878
08-017,2014,1845
08-017,2015,1826
08-017,2016,1848
08-017,2017,1849
08-017,2018,1864
08-017,2019,1824
08-017,2020,1795
08-019,2004,9148
08-019,2005,9150
08-019,2006,9042
08-019,2007,9152
08-019,2008,9138
08-019,2009,8994
08-019,2010,9084
08-019,2010,9073
08-019,2010,9088
08-019,2011,9012
08-019,2012,9017
08-019,2013,9025
08-019,2014,9124
08-019,2015,9246
08-019,2016,9355
08-019,2017,9573
08-019,2018,9552
08-019,2019,9598
08-019,2020,9586
08-021,2004,8353
08-021,2005,8337
08-021,2006,8256
08-021,2007,8217
08-021,2008,8200
08-021,2009,8140
08-021,2010,8312
08-021,2010,8256
08-021,2010,8256
08-021,2011,8291
08-021,2012,8248
08-021,2013,8199
08-021,2014,8230
08-021,2015,8064
08-021,2016,8044
08-021,2017,8141
08-021,2018,8154
08-021,2019,8169
08-021,2020,8143
08-023,2004,3656
08-023,2005,3562
08-023,2006,3571
08-023,2007,3567
08-023,2008,3532
08-023,2009,3481
08-023,2010,3529
08-023,2010,3524
08-023,2010,3524
08-023,2011,3640
08-023,2012,3601
08-023,2013,3540
08-023,2014,3560
08-023,2015,3576
08-023,2016,3692
08-023,2017,3758
08-023,2018,3803
08-023,2019,3872
08-023,2020,3921
08-025,2004,5720
08-025,2005,5677
08-025,2006,5886
08-025,2007,6015
08-025,2008,5947
08-025,2009,5797
08-025,2010,5859
08-025,2010,5823
08-025,2010,5823
08-025,2011,5884
08-025,2012,5468
08-025,2013,5352
08-025,2014,5610
08-025,2015,5633
08-025,2016,5276
08-025,2017,5820
08-025,2018,5886
08-025,2019,5989
08-025,2020,5696
08-027,2004,3911
08-027,2005,3989
08-027,2006,3994
08-027,2007,4112
08-027,2008,4107
08-027,2009,4190
08-027,2010,4278
08-027,2010,4255
08-027,2010,4251
08-027,2011,4224
08-027,2012,4217
08-027,2013,4260
08-027,2014,4339
08-027,2015,4434
08-027,2016,4581
08-027,2017,4861
08-027,2018,4962
08-027,2019,5119
08-027,2020,5183
08-029,2004,29305
08-029,2005,29389
08-029,2006,29789
08-029,2007,30121
08-029,2008,30712
08-029,2009,31156
08-029,2010,30858
08-029,2010,30954
08-029,2010,30952
08-029,2011,30398
08-029,2012,30473
08-029,2013,30349
08-029,2014,29973
08-029,2015,29925
08-029,2016,30352
08-029,2017,30516
08-029,2018,30835
08-029,2019,31021
08-029,2020,31067
08-031,2004,550756
08-031,2005,551691
08-031,2006,556895
08-031,2007,564395
08-031,2008,575721
08-031,2009,589011
08-031,2010,603012
08-031,2010,599454
08-031,2010,600158
08-031,2011,620250
08-031,2012,634965
08-031,2013,649270
08-031,2014,664540
08-031,2015,683328
08-031,2016,696273
08-031,2017,704869
08-031,2018,716340
08-031,2019,725508
08-031,2020,735538
08-033,2004,1850
08-033,2005,1869
08-033,2006,1973
08-033,2007,1980
08-033,2008,2061
08-033,2009,2057
08-033,2010,2069
08-033,2010,2064
08-033,2010,2064
08-033,2011,2044
08-033,2012,2009
08-033,2013,2033
08-033,2014,1976
08-033,2015,1980
08-033,2016,2055
08-033,2017,2044
08-033,2018,2056
08-033,2019,2042
08-033,2020,2096
08-035,2004,232508
08-035,2005,243112
08-035,2006,256136
08-035,2007,267177
08-035,2008,275500
08-035,2009,281386
08-035,2010,287011
08-035,2010,285480
08-035,2010,285465
08-035,2011,292626
08-035,2012,298826
08-035,2013,306407
08-035,2014,314783
08-035,2015,322333
08-035,2016,328680
08-035,2017,336347
08-035,2018,343780
08-035,2019,351842
08-035,2020,360750
08-037,2004,45893
08-037,2005,47205
08-037,2006,48476
08-037,2007,49803
08-037,2008,51049
08-037,2009,52513
08-037,2010,52098
08-037,2010,52197
08-037,2010,52200
08-037,2011,52048
08-037,2012,52330
08-037,2013,52814
08-037,2014,53276
08-037,2015,53863
08-037,2016,54578
08-037,2017,55022
08-037,2018,55087
08-037,2019,55183
08-037,2020,54929
08-039,2004,21977
08-039,2005,22182
08-039,2006,22423
08-039,2007,22402
08-039,2008,22634
08-039,2009,22965
08-039,2010,23137
08-039,2010,23084
08-039,2010,23086
08-039,2011,23175
08-039,2012,23276
08-039,2013,23543
08-039,2014,24035
08-039,2015,24634
08-039,2016,25130
08-039,2017,25735
08-039,2018,26267
08-039,2019,26707
08-039,2020,27313
08-041,2004,556667
08-041,2005,565800
08-041,2006,580251
08-041,2007,586783
08-041,2008,597919
08-041,2009,608061
08-041,2010,627088
08-041,2010,622256
08-041,2010,622263
08-041,2011,637376
08-041,2012,645900
08-041,2013,655178
08-041,2014,662968
08-041,2015,674094
08-041,2016,688671
08-041,2017,700838
08-041,2018,712746
08-041,2019,721929
08-041,2020,728310
08-043,2004,46605
08-043,2005,46641
08-043,2006,46873
08-043,2007,46959
08-043,2008,47166
08-043,2009,46871
08-043,2010,46834
08-043,2010,46825
08-043,2010,46824
08-043,2011,47393
08-043,2012,47072
08-043,2013,46360
08-043,2014,46185
08-043,2015,46327
08-043,2016,47047
08-043,2017,47633
08-043,2018,48070
08-043,2019,48009
08-043,2020,47867
08-045,2004,48193
08-045,2005,49579
08-045,2006,51594
08-045,2007,53534
08-045,2008,55449
08-045,2009,57089
08-045,2010,56072
08-045,2010,56373
08-045,2010,56389
08-045,2011,56049
08-045,2012,56765
08-045,2013,56945
08-045,2014,57174
08-045,2015,57724
08-045,2016,58839
08-045,2017,59065
08-045,2018,59722
08-045,2019,60031
08-045,2020,60366
08-047,2004,4752
08-047,2005,4810
08-047,2006,4883
08-047,2007,4893
08-047,2008,5026
08-047,2009,5352
08-047,2010,5471
08-047,2010,5441
08-047,2010,5449
08-047,2011,5429
08-047,2012,5432
08-047,2013,5535
08-047,2014,5754
08-047,2015,5813
08-047,2016,5920
08-047,2017,6024
08-047,2018,6131
08-047,2019,6232
08-047,2020,6235
08-049,2004,13596
08-049,2005,13627
08-049,2006,14003
08-049,2007,14306
08-049,2008,14622
08-049,2009,14902
08-049,2010,14795
08-049,2010,14843
08-049,2010,14843
08-049,2011,14564
08-049,2012,14227
08-049,2013,14320
08-049,2014,14569
08-049,2015,14742
08-049,2016,15198
08-049,2017,15385
08-049,2018,15556
08-049,2019,15748
08-049,2020,15794
08-051,2004,14356
08-051,2005,14456
08-051,2006,14720
08-051,2007,15043
08-051,2008,15250
08-051,2009,15356
08-051,2010,15290
08-051,2010,15324
08-051,2010,15324
08-051,2011,15267
08-051,2012,15390
08-051,2013,15597
08-051,2014,15786
08-051,2015,16125
08-051,2016,16447
08-051,2017,16896
08-051,2018,17177
08-051,2019,17480
08-051,2020,17593
08-053,2004,810
08-053,2005,794
08-053,2006,815
08-053,2007,835
08-053,2008,818
08-053,2009,834
08-053,2010,844
08-053,2010,843
08-053,2010,843
08-053,2011,825
08-053,2012,802
08-053,2013,803
08-053,2014,772
08-053,2015,762
08-053,2016,783
08-053,2017,788
08-053,2018,786
08-053,2019,789
08-053,2020,808
08-055,2004,7193
08-055,2005,7145
08-055,2006,7127
08-055,2007,7051
08-055,2008,7073
08-055,2009,6824
08-055,2010,6681
08-055,2010,6712
08-055,2010,6711
08-055,2011,6527
08-055,2012,6567
08-055,2013,6465
08-055,2014,6399
08-055,2015,6408
08-055,2016,6583
08-055,2017,6632
08-055,2018,6877
08-055,2019,6868
08-055,2020,6883
08-057,2004,1486
08-057,2005,1449
08-057,2006,1415
08-057,2007,1407
08-057,2008,1378
08-057,2009,1408
08-057,2010,1388
08-057,2010,1394
08-057,2010,1393
08-057,2011,1357
08-057,2012,1325
08-057,2013,1338
08-057,2014,1385
08-057,2015,1352
08-057,2016,1356
08-057,2017,1376
08-057,2018,1403
08-057,2019,1397
08-057,2020,1389
08-059,2004,520900
08-059,2005,519675
08-059,2006,521662
08-059,2007,524911
08-059,2008,529003
08-059,2009,531961
08-059,2010,535567
08-059,2010,534832
08-059,2010,534543
08-059,2011,540582
08-059,2012,546736
08-059,2013,552242
08-059,2014,559099
08-059,2015,565240
08-059,2016,571823
08-059,2017,576041
08-059,2018,580027
08-059,2019,582800
08-059,2020,583283
08-061,2004,1457
08-061,2005,1467
08-061,2006,1456
08-061,2007,1410
08-061,2008,1392
08-061,2009,1378
08-061,2010,1404
08-061,2010,1398
08-061,2010,1398
08-061,2011,1432
08-061,2012,1410
08-061,2013,1393
08-061,2014,1382
08-061,2015,1386
08-061,2016,1346
08-061,2017,1368
08-061,2018,1385
08-061,2019,1417
08-061,2020,1458
08-063,2004,8157
08-063,2005,8060
08-063,2006,8011
08-063,2007,7954
08-063,2008,8157
08-063,2009,8383
08-063,2010,8271
08-063,2010,8278
08-063,2010,8270
08-063,2011,8183
08-063,2012,8088
08-063,2013,8259
08-063,2014,8028
08-063,2015,8223
08-063,2016,7632
08-063,2017,7149
08-063,2018,7166
08-063,2019,7161
08-063,2020,7121
08-065,2004,7434
08-065,2005,7331
08-065,2006,7278
08-065,2007,7392
08-065,2008,7450
08-065,2009,7426
08-065,2010,7263
08-065,2010,7310
08-065,2010,7310
08-065,2011,7344
08-065,2012,7259
08-065,2013,7276
08-065,2014,7333
08-065,2015,7455
08-065,2016,7591
08-065,2017,7769
08-065,2018,7807
08-065,2019,8072
08-065,2020,7987
08-067,2004,46728
08-067,2005,47575
08-067,2006,48574
08-067,2007,49343
08-067,2008,50291
08-067,2009,51105
08-067,2010,51416
08-067,2010,51334
08-067,2010,51335
08-067,2011,51886
08-067,2012,52489
08-067,2013,53432
08-067,2014,53941
08-067,2015,54776
08-067,2016,55459
08-067,2017,55717
08-067,2018,56511
08-067,2019,56440
08-067,2020,56564
08-069,2004,271510
08-069,2005,275116
08-069,2006,280713
08-069,2007,286112
08-069,2008,291650
08-069,2009,296696
08-069,2010,300453
08-069,2010,299628
08-069,2010,299630
08-069,2011,305320
08-069,2012,310983
08-069,2013,316426
08-069,2014,324272
08-069,2015,333637
08-069,2016,339394
08-069,2017,344509
08-069,2018,351045
08-069,2019,357241
08-069,2020,360428
08-071,2004,15573
08-071,2005,15582
08-071,2006,15673
08-071,2007,15734
08-071,2008,15770
08-071,2009,15775
08-071,2010,15422
08-071,2010,15506
08-071,2010,15507
08-071,2011,15054
08-071,2012,14996
08-071,2013,14404
08-071,2014,14054
08-071,2015,14048
08-071,2016,14085
08-071,2017,14237
08-071,2018,14460
08-071,2019,14415
08-071,2020,14420
08-073,2004,5751
08-073,2005,5644
08-073,2006,5530
08-073,2007,5484
08-073,2008,5468
08-073,2009,5423
08-073,2010,5471
08-073,2010,5469
08-073,2010,5467
08-073,2011,5420
08-073,2012,5441
08-073,2013,5435
08-073,2014,5503
08-073,2015,5545
08-073,2016,5546
08-073,2017,5526
08-073,2018,5595
08-073,2019,5694
08-073,2020,5680
08-075,2004,21795
08-075,2005,21694
08-075,2006,21911
08-075,2007,22163
08-075,2008,22128
08-075,2009,22451
08-075,2010,22749
08-075,2010,22709
08-075,2010,22709
08-075,2011,22577
08-075,2012,22360
08-075,2013,22182
08-075,2014,22446
08-075,2015,22484
08-075,2016,22427
08-075,2017,22314
08-075,2018,22286
08-075,2019,22409
08-075,2020,21974
08-077,2004,127678
08-077,2005,130194
08-077,2006,134665
08-077,2007,139434
08-077,2008,143155
08-077,2009,147851
08-077,2010,146266
08-077,2010,146736
08-077,2010,146723
08-077,2011,147205
08-077,2012,147360
08-077,2013,147249
08-077,2014,147215
08-077,2015,148159
08-077,2016,149882
08-077,2017,151435
08-077,2018,153339
08-077,2019,154552
08-077,2020,155603
08-079,2004,848
08-079,2005,814
08-079,2006,789
08-079,2007,807
08-079,2008,774
08-079,2009,732
08-079,2010,704
08-079,2010,712
08-079,2010,712
08-079,2011,711
08-079,2012,719
08-079,2013,732
08-079,2014,703
08-079,2015,742
08-079,2016,756
08-079,2017,753
08-079,2018,774
08-079,2019,756
08-079,2020,773
08-081,2004,13175
08-081,2005,12956
08-081,2006,13115
08-081,2007,13348
08-081,2008,13585
08-081,2009,13728
08-081,2010,13795
08-081,2010,13791
08-081,2010,13795
08-081,2011,13424
08-081,2012,13172
08-081,2013,13129
08-081,2014,12941
08-081,2015,12946
08-081,2016,13155
08-081,2017,13095
08-081,2018,13148
08-081,2019,13209
08-081,2020,13144
08-083,2004,24456
08-083,2005,24514
08-083,2006,24968
08-083,2007,25157
08-083,2008,25222
08-083,2009,25507
08-083,2010,25576
08-083,2010,25535
08-083,2010,25541
08-083,2011,25489
08-083,2012,25497
08-083,2013,25575
08-083,2014,25551
08-083,2015,25763
08-083,2016,26063
08-083,2017,26187
08-083,2018,26303
08-083,2019,26369
08-083,2020,26408
08-085,2004,36310
08-085,2005,37227
08-085,2006,38282
08-085,2007,39673
08-085,2008,40658
08-085,2009,41535
08-085,2010,41182
08-085,2010,41272
08-085,2010,41276
08-085,2011,40980
08-085,2012,40675
08-085,2013,40584
08-085,2014,40622
08-085,2015,40609
08-085,2016,41183
08-085,2017,41795
08-085,2018,42309
08-085,2019,42791
08-085,2020,43322
