county_FIPS,NAME,Percent_Uninsured,Year
0500000US17099,"LaSalle County, Illinois",10.6,2010
0500000US17111,"McHenry County, Illinois",9.9,2010
0500000US17113,"McLean County, Illinois",8.4,2010
0500000US17115,"Macon County, Illinois",11.1,2010
0500000US17119,"Madison County, Illinois",9.8,2010
0500000US17143,"Peoria County, Illinois",11.5,2010
0500000US17161,"Rock Island County, Illinois",11.9,2010
0500000US17163,"St. Clair County, Illinois",11.4,2010
0500000US17167,"Sangamon County, Illinois",9.8,2010
0500000US17179,"Tazewell County, Illinois",7.7,2010
0500000US17183,"Vermilion County, Illinois",13.0,2010
0500000US17197,"Will County, Illinois",10.6,2010
0500000US17199,"Williamson County, Illinois",11.4,2010
0500000US17201,"Winnebago County, Illinois",13.5,2010
0500000US18003,"Allen County, Indiana",14.6,2010
0500000US18005,"Bartholomew County, Indiana",11.5,2010
0500000US18019,"Clark County, Indiana",14.0,2010
0500000US18035,"Delaware County, Indiana",14.1,2010
0500000US18039,"Elkhart County, Indiana",22.2,2010
0500000US18043,"Floyd County, Indiana",10.6,2010
0500000US18053,"Grant County, Indiana",15.8,2010
0500000US18057,"Hamilton County, Indiana",8.5,2010
0500000US18059,"Hancock County, Indiana",14.8,2010
0500000US18063,"Hendricks County, Indiana",10.2,2010
0500000US18067,"Howard County, Indiana",15.1,2010
0500000US18081,"Johnson County, Indiana",12.7,2010
0500000US18085,"Kosciusko County, Indiana",19.0,2010
0500000US18089,"Lake County, Indiana",14.4,2010
0500000US18091,"LaPorte County, Indiana",11.5,2010
0500000US18095,"Madison County, Indiana",16.5,2010
0500000US18097,"Marion County, Indiana",18.1,2010
0500000US18105,"Monroe County, Indiana",11.7,2010
0500000US18109,"Morgan County, Indiana",16.8,2010
0500000US18127,"Porter County, Indiana",11.8,2010
0500000US18141,"St. Joseph County, Indiana",13.2,2010
0500000US18157,"Tippecanoe County, Indiana",13.8,2010
0500000US18163,"Vanderburgh County, Indiana",12.2,2010
0500000US18167,"Vigo County, Indiana",16.2,2010
0500000US18177,"Wayne County, Indiana",20.4,2010
0500000US19013,"Black Hawk County, Iowa",8.7,2010
0500000US19049,"Dallas County, Iowa",8.5,2010
0500000US19061,"Dubuque County, Iowa",4.9,2010
0500000US19103,"Johnson County, Iowa",6.7,2010
0500000US19113,"Linn County, Iowa",7.5,2010
0500000US19153,"Polk County, Iowa",9.7,2010
0500000US19155,"Pottawattamie County, Iowa",12.2,2010
0500000US19163,"Scott County, Iowa",10.8,2010
0500000US19169,"Story County, Iowa",7.6,2010
0500000US19193,"Woodbury County, Iowa",13.6,2010
0500000US20015,"Butler County, Kansas",12.9,2010
0500000US20045,"Douglas County, Kansas",15.4,2010
0500000US20091,"Johnson County, Kansas",9.5,2010
0500000US20103,"Leavenworth County, Kansas",8.4,2010
0500000US20161,"Riley County, Kansas",7.8,2010
0500000US20173,"Sedgwick County, Kansas",15.6,2010
0500000US20177,"Shawnee County, Kansas",14.7,2010
0500000US20209,"Wyandotte County, Kansas",26.4,2010
0500000US21015,"Boone County, Kentucky",10.6,2010
0500000US21029,"Bullitt County, Kentucky",11.2,2010
0500000US21037,"Campbell County, Kentucky",13.3,2010
0500000US21047,"Christian County, Kentucky",16.3,2010
0500000US21059,"Daviess County, Kentucky",12.2,2010
0500000US21067,"Fayette County, Kentucky",16.2,2010
0500000US21093,"Hardin County, Kentucky",12.3,2010
0500000US21111,"Jefferson County, Kentucky",13.4,2010
0500000US21117,"Kenton County, Kentucky",14.1,2010
0500000US21145,"McCracken County, Kentucky",13.4,2010
0500000US21151,"Madison County, Kentucky",16.4,2010
0500000US21195,"Pike County, Kentucky",15.8,2010
0500000US21227,"Warren County, Kentucky",14.9,2010
0500000US22005,"Ascension Parish, Louisiana",13.2,2010
0500000US22015,"Bossier Parish, Louisiana",15.7,2010
0500000US22017,"Caddo Parish, Louisiana",18.9,2010
0500000US22019,"Calcasieu Parish, Louisiana",15.0,2010
0500000US22033,"East Baton Rouge Parish, Louisiana",14.9,2010
0500000US22045,"Iberia Parish, Louisiana",18.3,2010
0500000US22051,"Jefferson Parish, Louisiana",19.8,2010
